"","PathwayName","EnsemblId"
"110","Adipogenesis","ENSG00000176692"
"111","Adipogenesis","ENSG00000109819"
"112","Adipogenesis","ENSG00000084676"
"114","Adipogenesis","ENSG00000186951"
"115","Adipogenesis","ENSG00000168610"
"116","Adipogenesis","ENSG00000170581"
"117","Adipogenesis","ENSG00000115415"
"119","Adipogenesis","ENSG00000185338"
"120","Adipogenesis","ENSG00000184557"
"122","Adipogenesis","ENSG00000113594"
"123","Adipogenesis","ENSG00000134352"
"125","Adipogenesis","ENSG00000099985"
"126","Adipogenesis","ENSG00000168036"
"127","Adipogenesis","ENSG00000109424"
"128","Adipogenesis","ENSG00000111186"
"129","Adipogenesis","ENSG00000125084"
"130","Adipogenesis","ENSG00000166949"
"131","Adipogenesis","ENSG00000157240"
"132","Adipogenesis","ENSG00000107404"
"133","Adipogenesis","ENSG00000135100"
"134","Adipogenesis","ENSG00000143171"
"135","Adipogenesis","ENSG00000162998"
"136","Adipogenesis","ENSG00000254647"
"137","Adipogenesis","ENSG00000105835"
"140","Adipogenesis","ENSG00000136574"
"142","Adipogenesis","ENSG00000180530"
"143","Adipogenesis","ENSG00000069667"
"144","Adipogenesis","ENSG00000113494"
"147","Adipogenesis","ENSG00000100644"
"150","Adipogenesis","ENSG00000106483"
"151","Adipogenesis","ENSG00000141027"
"152","Adipogenesis","ENSG00000196498"
"153","Adipogenesis","ENSG00000163884"
"154","Adipogenesis","ENSG00000122877"
"155","Adipogenesis","ENSG00000164330"
"156","Adipogenesis","ENSG00000116016"
"157","Adipogenesis","ENSG00000106546"
"161","Adipogenesis","ENSG00000169047"
"162","Adipogenesis","ENSG00000133124"
"167","Adipogenesis","ENSG00000134324"
"169","Adipogenesis","ENSG00000079435"
"170","Adipogenesis","ENSG00000124253"
"171","Adipogenesis","ENSG00000100889"
"172","Adipogenesis","ENSG00000245848"
"173","Adipogenesis","ENSG00000185950"
"174","Adipogenesis",""
"177","Aflatoxin B1 metabolism","ENSG00000140505"
"178","Aflatoxin B1 metabolism","ENSG00000160868"
"179","Aflatoxin B1 metabolism","ENSG00000140505"
"180","Aflatoxin B1 metabolism","ENSG00000134184"
"181","Aflatoxin B1 metabolism","ENSG00000053371"
"182","Aflatoxin B1 metabolism","ENSG00000162482"
"183","Aflatoxin B1 metabolism","ENSG00000140505"
"184","Aflatoxin B1 metabolism","ENSG00000160868"
"185","Aflatoxin B1 metabolism","ENSG00000184674"
"186","Aflatoxin B1 metabolism","ENSG00000143819"
"187","Aflatoxin B1 metabolism","ENSG00000197838"
"188","Aflatoxin B1 metabolism","ENSG00000197838"
"189","Alanine and aspartate metabolism","ENSG00000125166"
"191","Alanine and aspartate metabolism","ENSG00000183044"
"196","Alanine and aspartate metabolism","ENSG00000167701"
"197","Alanine and aspartate metabolism","ENSG00000136750"
"198","Alanine and aspartate metabolism","ENSG00000128683"
"199","Alanine and aspartate metabolism","ENSG00000130707"
"200","Alanine and aspartate metabolism","ENSG00000173599"
"201","Alanine and aspartate metabolism","ENSG00000120053"
"202","Allograft Rejection","ENSG00000138755"
"203","Allograft Rejection","ENSG00000169248"
"204","Allograft Rejection","ENSG00000137077"
"205","Allograft Rejection","ENSG00000138684"
"206","Allograft Rejection","ENSG00000168621"
"207","Allograft Rejection","ENSG00000111537"
"208","Allograft Rejection","ENSG00000070770"
"209","Allograft Rejection","ENSG00000134853"
"210","Allograft Rejection","ENSG00000132840"
"211","Allograft Rejection","ENSG00000172724"
"212","Allograft Rejection","ENSG00000170445"
"213","Allograft Rejection","ENSG00000125730"
"214","Allograft Rejection","ENSG00000106804"
"215","Allograft Rejection","ENSG00000106804"
"217","Allograft Rejection","ENSG00000125730"
"218","Allograft Rejection","ENSG00000169248"
"219","Allograft Rejection","ENSG00000170445"
"220","Allograft Rejection","ENSG00000132840"
"221","Allograft Rejection","ENSG00000168621"
"222","Allograft Rejection","ENSG00000138755"
"224","Allograft Rejection","ENSG00000144891"
"225","Allograft Rejection","ENSG00000111537"
"226","Allograft Rejection","ENSG00000168621"
"227","Allograft Rejection","ENSG00000134853"
"228","Allograft Rejection","ENSG00000138755"
"229","Allograft Rejection","ENSG00000130635"
"230","Allograft Rejection","ENSG00000137077"
"231","Allograft Rejection","ENSG00000123416"
"232","Allograft Rejection","ENSG00000070770"
"233","Allograft Rejection","ENSG00000115425"
"234","Allograft Rejection","ENSG00000026025"
"235","Allograft Rejection","ENSG00000169248"
"236","Allograft Rejection","ENSG00000154727"
"237","Allograft Rejection","ENSG00000169429"
"238","Allograft Rejection","ENSG00000138684"
"239","Allograft Rejection","ENSG00000172724"
"240","Allograft Rejection","ENSG00000188906"
"241","Allograft Rejection","ENSG00000109471"
"242","Allograft Rejection","ENSG00000115008"
"243","Allograft Rejection","ENSG00000115523"
"244","Allograft Rejection","ENSG00000085563"
"245","Allograft Rejection","ENSG00000107562"
"246","Allograft Rejection","ENSG00000115415"
"247","Allograft Rejection","ENSG00000112715"
"248","Allograft Rejection","ENSG00000156234"
"249","Allograft Rejection","ENSG00000160683"
"250","Allograft Rejection","ENSG00000178562"
"251","Allograft Rejection","ENSG00000111537"
"252","Allograft Rejection","ENSG00000169194"
"253","Allograft Rejection","ENSG00000113520"
"254","Allograft Rejection","ENSG00000113302"
"256","Allograft Rejection","ENSG00000136634"
"259","Allograft Rejection","ENSG00000180644"
"261","Allograft Rejection","ENSG00000109471"
"262","Allograft Rejection","ENSG00000138684"
"263","Allograft Rejection","ENSG00000049768"
"264","Allograft Rejection","ENSG00000127318"
"266","Allograft Rejection","ENSG00000100453"
"267","Allograft Rejection","ENSG00000105329"
"268","Allograft Rejection","ENSG00000136634"
"269","Allograft Rejection","ENSG00000232810"
"270","Allograft Rejection","ENSG00000113525"
"271","Allograft Rejection","ENSG00000112115"
"272","Allograft Rejection","ENSG00000113520"
"273","Allograft Rejection","ENSG00000168811"
"274","Allograft Rejection","ENSG00000111537"
"275","Allograft Rejection","ENSG00000113525"
"276","Allograft Rejection","ENSG00000102245"
"278","Allograft Rejection","ENSG00000026103"
"280","Allograft Rejection","ENSG00000117560"
"281","Allograft Rejection",""
"282","Allograft Rejection","ENSG00000163599"
"283","Allograft Rejection",""
"284","Allograft Rejection",""
"285","Allograft Rejection",""
"286","Allograft Rejection",""
"287","Allograft Rejection",""
"288","Allograft Rejection",""
"289","Allograft Rejection",""
"290","Allograft Rejection",""
"291","Allograft Rejection",""
"292","Allograft Rejection",""
"293","Allograft Rejection",""
"294","Allograft Rejection",""
"295","Allograft Rejection","ENSG00000125730"
"296","Allograft Rejection",""
"297","Allograft Rejection","ENSG00000102245"
"299","Allograft Rejection","ENSG00000064012"
"300","Allograft Rejection","ENSG00000165806"
"301","Allograft Rejection","ENSG00000164305"
"302","Allograft Rejection","ENSG00000132906"
"303","Allograft Rejection","ENSG00000067606"
"304","Allograft Rejection","ENSG00000134460"
"305","Allograft Rejection","ENSG00000125538"
"318","Allograft Rejection","ENSG00000121594"
"321","Allograft Rejection","ENSG00000178562"
"322","Allograft Rejection","ENSG00000121594"
"330","Allograft Rejection","ENSG00000100453"
"331","Allograft Rejection","ENSG00000180644"
"332","Alzheimers Disease","ENSG00000142192"
"333","Alzheimers Disease","ENSG00000159593"
"334","Alzheimers Disease","ENSG00000199135"
"335","Alzheimers Disease","ENSG00000166313"
"336","Alzheimers Disease","ENSG00000111640"
"337","Alzheimers Disease","ENSG00000137845"
"338","Alzheimers Disease","ENSG00000186318"
"339","Alzheimers Disease","ENSG00000205155"
"340","Alzheimers Disease","ENSG00000080815"
"341","Alzheimers Disease","ENSG00000162736"
"342","Alzheimers Disease","ENSG00000117362"
"343","Alzheimers Disease","ENSG00000119912"
"344","Alzheimers Disease","ENSG00000196549"
"345","Alzheimers Disease","ENSG00000175445"
"346","Alzheimers Disease","ENSG00000130203"
"347","Alzheimers Disease","ENSG00000123384"
"348","Alzheimers Disease","ENSG00000026103"
"349","Alzheimers Disease","ENSG00000067182"
"350","Alzheimers Disease","ENSG00000168040"
"351","Alzheimers Disease","ENSG00000064012"
"352","Alzheimers Disease","ENSG00000072506"
"353","Alzheimers Disease","ENSG00000015475"
"354","Alzheimers Disease","ENSG00000172115"
"355","Alzheimers Disease","ENSG00000198668"
"356","Alzheimers Disease","ENSG00000187446"
"357","Alzheimers Disease","ENSG00000002330"
"358","Alzheimers Disease","ENSG00000143933"
"359","Alzheimers Disease","ENSG00000160014"
"360","Alzheimers Disease","ENSG00000178363"
"361","Alzheimers Disease","ENSG00000178372"
"362","Alzheimers Disease","ENSG00000138814"
"363","Alzheimers Disease","ENSG00000107758"
"364","Alzheimers Disease","ENSG00000120910"
"365","Alzheimers Disease","ENSG00000221823"
"366","Alzheimers Disease","ENSG00000188386"
"368","Alzheimers Disease","ENSG00000151694"
"369","Alzheimers Disease","ENSG00000143801"
"370","Alzheimers Disease","ENSG00000120868"
"371","Alzheimers Disease","ENSG00000132906"
"372","Alzheimers Disease","ENSG00000164305"
"373","Alzheimers Disease","ENSG00000145335"
"374","Alzheimers Disease","ENSG00000176884"
"375","Alzheimers Disease","ENSG00000151067"
"376","Alzheimers Disease","ENSG00000183454"
"377","Alzheimers Disease","ENSG00000273079"
"378","Alzheimers Disease","ENSG00000161509"
"379","Alzheimers Disease","ENSG00000105464"
"380","Alzheimers Disease","ENSG00000157388"
"381","Alzheimers Disease","ENSG00000102001"
"382","Alzheimers Disease","ENSG00000081248"
"383","Alzheimers Disease","ENSG00000156052"
"384","Alzheimers Disease","ENSG00000182621"
"385","Alzheimers Disease","ENSG00000137841"
"386","Alzheimers Disease","ENSG00000149782"
"387","Alzheimers Disease","ENSG00000101333"
"388","Alzheimers Disease","ENSG00000232810"
"389","Alzheimers Disease","ENSG00000125538"
"390","Alzheimers Disease","ENSG00000100030"
"391","Alzheimers Disease","ENSG00000102882"
"392","Alzheimers Disease","ENSG00000204403"
"393","Alzheimers Disease","ENSG00000198838"
"394","Alzheimers Disease","ENSG00000205155"
"395","Alzheimers Disease","ENSG00000174437"
"396","Alzheimers Disease","ENSG00000196296"
"397","Alzheimers Disease","ENSG00000074370"
"398","Alzheimers Disease","ENSG00000172071"
"399","Alzheimers Disease","ENSG00000178607"
"400","Alzheimers Disease","ENSG00000118217"
"401","Alzheimers Disease","ENSG00000150995"
"402","Alzheimers Disease","ENSG00000123104"
"403","Alzheimers Disease","ENSG00000096433"
"404","Alzheimers Disease","ENSG00000014216"
"405","Alzheimers Disease","ENSG00000162909"
"406","Alzheimers Disease","ENSG00000141510"
"407","Alzheimers Disease","ENSG00000176749"
"408","Alzheimers Disease","ENSG00000089250"
"409","Alzheimers Disease","ENSG00000164885"
"410","Alzheimers Disease","ENSG00000186868"
"411","Alzheimers Disease","ENSG00000082701"
"412","Alzheimers Disease","ENSG00000164305"
"413","Alzheimers Disease","ENSG00000165806"
"414","Alzheimers Disease","ENSG00000277934"
"415","Alzheimers Disease","ENSG00000274250"
"416","Alzheimers Disease","ENSG00000275668"
"419","Amino acid conjugation of benzoic acid","ENSG00000149124"
"420","Amino acid conjugation of benzoic acid","ENSG00000156689"
"421","Amino acid conjugation of benzoic acid","ENSG00000166840"
"423","Amino Acid metabolism","ENSG00000135821"
"424","Amino Acid metabolism","ENSG00000023909"
"425","Amino Acid metabolism","ENSG00000100983"
"426","Amino Acid metabolism","ENSG00000148672"
"427","Amino Acid metabolism","ENSG00000059573"
"428","Amino Acid metabolism","ENSG00000059573"
"429","Amino Acid metabolism","ENSG00000115419"
"430","Amino Acid metabolism","ENSG00000277196"
"431","Amino Acid metabolism","ENSG00000136628"
"432","Amino Acid metabolism","ENSG00000105953"
"433","Amino Acid metabolism","ENSG00000163541"
"434","Amino Acid metabolism","ENSG00000073578"
"435","Amino Acid metabolism","ENSG00000091483"
"436","Amino Acid metabolism","ENSG00000146701"
"437","Amino Acid metabolism","ENSG00000131473"
"438","Amino Acid metabolism","ENSG00000100412"
"439","Amino Acid metabolism","ENSG00000138413"
"440","Amino Acid metabolism","ENSG00000249319"
"441","Amino Acid metabolism","ENSG00000113643"
"442","Amino Acid metabolism","ENSG00000130707"
"443","Amino Acid metabolism","ENSG00000115758"
"444","Amino Acid metabolism","ENSG00000116649"
"445","Amino Acid metabolism","ENSG00000084774"
"446","Amino Acid metabolism","ENSG00000102172"
"447","Amino Acid metabolism","ENSG00000134333"
"448","Amino Acid metabolism","ENSG00000067225"
"449","Amino Acid metabolism","ENSG00000124253"
"450","Amino Acid metabolism","ENSG00000173599"
"451","Amino Acid metabolism","ENSG00000014641"
"452","Amino Acid metabolism","ENSG00000070669"
"453","Amino Acid metabolism","ENSG00000062485"
"454","Amino Acid metabolism","ENSG00000004799"
"455","Amino Acid metabolism","ENSG00000164904"
"456","Amino Acid metabolism","ENSG00000166123"
"457","Amino Acid metabolism","ENSG00000120053"
"458","Amino Acid metabolism","ENSG00000060971"
"459","Amino Acid metabolism","ENSG00000078070"
"460","Amino Acid metabolism","ENSG00000148090"
"461","Amino Acid metabolism","ENSG00000060982"
"462","Amino Acid metabolism","ENSG00000117054"
"463","Amino Acid metabolism","ENSG00000113790"
"464","Amino Acid metabolism","ENSG00000138796"
"465","Amino Acid metabolism","ENSG00000106049"
"466","Amino Acid metabolism","ENSG00000113790"
"467","Amino Acid metabolism","ENSG00000134240"
"468","Amino Acid metabolism","ENSG00000060982"
"469","Amino Acid metabolism","ENSG00000060982"
"470","Amino Acid metabolism","ENSG00000117054"
"471","Amino Acid metabolism","ENSG00000117054"
"472","Amino Acid metabolism","ENSG00000113790"
"473","Amino Acid metabolism","ENSG00000255292"
"474","Amino Acid metabolism","ENSG00000183010"
"475","Amino Acid metabolism","ENSG00000163590"
"476","Amino Acid metabolism","ENSG00000131828"
"477","Amino Acid metabolism","ENSG00000116120"
"478","Amino Acid metabolism","ENSG00000198650"
"479","Amino Acid metabolism","ENSG00000065154"
"480","Amino Acid metabolism","ENSG00000132437"
"481","Amino Acid metabolism","ENSG00000189221"
"482","Amino Acid metabolism","ENSG00000164904"
"483","Amino Acid metabolism","ENSG00000118520"
"484","Amino Acid metabolism","ENSG00000081181"
"485","Amino Acid metabolism","ENSG00000125166"
"486","Amino Acid metabolism","ENSG00000072682"
"487","Amino Acid metabolism","ENSG00000021826"
"488","Amino Acid metabolism","ENSG00000084774"
"489","Amino Acid metabolism","ENSG00000119689"
"490","Amino Acid metabolism","ENSG00000091140"
"491","Amino Acid metabolism","ENSG00000154930"
"492","Amino Acid metabolism","ENSG00000165092"
"493","Amino Acid metabolism","ENSG00000248144"
"494","Amino Acid metabolism","ENSG00000196344"
"495","Amino Acid metabolism","ENSG00000197894"
"496","Amino Acid metabolism","ENSG00000198099"
"497","Amino Acid metabolism","ENSG00000196305"
"498","Amino Acid metabolism","ENSG00000204394"
"499","Amino Acid metabolism","ENSG00000140105"
"500","Amino Acid metabolism","ENSG00000011376"
"501","Amino Acid metabolism","ENSG00000198650"
"502","Amino Acid metabolism","ENSG00000115705"
"503","Amino Acid metabolism","ENSG00000123454"
"504","Amino Acid metabolism","ENSG00000141744"
"505","Amino Acid metabolism","ENSG00000180176"
"506","Amino Acid metabolism","ENSG00000103876"
"507","Amino Acid metabolism","ENSG00000189221"
"508","Amino Acid metabolism","ENSG00000151790"
"509","Amino Acid metabolism","ENSG00000189221"
"510","Amino Acid metabolism","ENSG00000132437"
"511","Amino Acid metabolism","ENSG00000129167"
"512","Amino Acid metabolism","ENSG00000135094"
"513","Amino Acid metabolism","ENSG00000116761"
"514","Amino Acid metabolism","ENSG00000160200"
"515","Amino Acid metabolism","ENSG00000128309"
"516","Amino Acid metabolism","ENSG00000135094"
"517","Amino Acid metabolism","ENSG00000145692"
"518","Amino Acid metabolism","ENSG00000247626"
"519","Amino Acid metabolism","ENSG00000104687"
"520","Amino Acid metabolism","ENSG00000166123"
"521","Amino Acid metabolism","ENSG00000084110"
"522","Amino Acid metabolism","ENSG00000140287"
"523","Amino Acid metabolism","ENSG00000150540"
"524","Amino Acid metabolism","ENSG00000131471"
"525","Amino Acid metabolism","ENSG00000117305"
"526","Amino Acid metabolism","ENSG00000198130"
"527","Amino Acid metabolism","ENSG00000132437"
"528","Amino Acid metabolism","ENSG00000110435"
"529","Amino Acid metabolism","ENSG00000131828"
"530","Amino Acid metabolism","ENSG00000160282"
"531","Amino Acid metabolism","ENSG00000146085"
"532","Amino Acid metabolism","ENSG00000036473"
"533","Amino Acid metabolism","ENSG00000152254"
"534","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000141510"
"535","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000113161"
"536","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000170214"
"537","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000129965"
"538","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000066044"
"539","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000145386"
"540","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000133101"
"541","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000124762"
"542","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000134057"
"543","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000120907"
"544","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000105221"
"545","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000117461"
"546","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000110931"
"547","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000006831"
"548","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000108443"
"549","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000187840"
"550","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000115592"
"551","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000104812"
"552","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000103197"
"553","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000132356"
"554","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000142208"
"555","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000278540"
"556","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000174697"
"557","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000072310"
"558","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000171105"
"559","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000078142"
"560","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000106617"
"561","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000198793"
"562","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000181929"
"563","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000145675"
"564","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000266173"
"565","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000131791"
"566","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000165699"
"567","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000051382"
"568","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000121879"
"569","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000082146"
"570","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000159346"
"571","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000155846"
"572","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000079435"
"573","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000111725"
"574","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000182621"
"575","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000064489"
"576","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000103319"
"577","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000205560"
"578","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000181856"
"579","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000169710"
"580","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000175634"
"581","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000110090"
"582","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000160741"
"583","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000101076"
"584","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000116678"
"585","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000170525"
"586","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000105851"
"587","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000125520"
"588","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000111713"
"589","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000004660"
"590","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000118046"
"592","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000135932"
"593","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000169169"
"594","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000142875"
"595","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000171608"
"596","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000162409"
"597","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000141564"
"598","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000105647"
"599","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000181092"
"600","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000165059"
"602","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000181856"
"603","AMP-activated Protein Kinase (AMPK) Signaling","ENSG00000181856"
"604","Amplification and Expansion of Oncogenic Pathways as Metastatic Traits","ENSG00000162692"
"605","Amplification and Expansion of Oncogenic Pathways as Metastatic Traits","ENSG00000197122"
"606","Amplification and Expansion of Oncogenic Pathways as Metastatic Traits","ENSG00000133110"
"607","Amplification and Expansion of Oncogenic Pathways as Metastatic Traits","ENSG00000134086"
"608","Amplification and Expansion of Oncogenic Pathways as Metastatic Traits","ENSG00000112715"
"609","Amplification and Expansion of Oncogenic Pathways as Metastatic Traits","ENSG00000115165"
"610","Amplification and Expansion of Oncogenic Pathways as Metastatic Traits","ENSG00000101384"
"611","Amplification and Expansion of Oncogenic Pathways as Metastatic Traits","ENSG00000105851"
"612","Amplification and Expansion of Oncogenic Pathways as Metastatic Traits","ENSG00000081059"
"613","Amplification and Expansion of Oncogenic Pathways as Metastatic Traits","ENSG00000041982"
"614","Amplification and Expansion of Oncogenic Pathways as Metastatic Traits","ENSG00000148400"
"615","Amplification and Expansion of Oncogenic Pathways as Metastatic Traits","ENSG00000121966"
"616","Amplification and Expansion of Oncogenic Pathways as Metastatic Traits","ENSG00000116016"
"617","Amplification and Expansion of Oncogenic Pathways as Metastatic Traits","ENSG00000105851"
"618","Amplification and Expansion of Oncogenic Pathways as Metastatic Traits","ENSG00000152284"
"619","Amplification and Expansion of Oncogenic Pathways as Metastatic Traits","ENSG00000148737"
"620","Amplification and Expansion of Oncogenic Pathways as Metastatic Traits","ENSG00000138795"
"621","Amyotrophic lateral sclerosis (ALS)","ENSG00000232810"
"623","Amyotrophic lateral sclerosis (ALS)","ENSG00000197442"
